Temperature (Â°C),Soil Moisture (%),Water Needed (ml)
21,42,58
32,78,22
22,86,14
32,32,68
18,64,36
32,20,80
15,56,44
18,39,61
33,74,26
33,35,65
29,39,61
25,16,84
28,87,13
15,31,69
17,59,41
32,96,4
16,53,47
24,75,25
22,27,73
32,13,87
22,15,85
16,10,90
28,80,20
32,87,13
25,26,74
15,79,21
29,75,25
26,38,62
32,14,86
21,58,42
19,30,70
30,17,83
27,12,88
15,84,16
24,94,6
35,42,58
35,76,24
26,21,79
23,35,65
24,94,6
24,33,67
29,93,7
31,94,6
16,53,47
19,21,79
32,79,21
27,57,43
21,74,26
32,13,87
30,79,21
16,94,6
30,30,70
16,66,34
31,94,6
24,14,86
27,75,25
29,23,77
31,11,89
25,93,7
28,21,79
32,40,60
17,77,23
22,17,83
19,75,25
24,37,63
32,29,71
24,96,4
16,60,40
18,24,76
33,95,5
16,67,33
21,52,48
17,38,62
22,65,35
22,73,27
34,39,61
16,75,25
24,55,45
34,77,23
32,89,11
19,11,89
25,92,8
18,68,32
35,25,75
32,75,25
30,46,54
34,92,8
15,60,40
24,58,42
16,74,26
19,67,33
31,44,56
29,46,54
27,19,81
15,30,70
35,55,45
19,31,69
33,55,45
28,55,45
20,66,34
